DateTime,TimeEpoch,Temperature,Humidity,xaccelaration,yaccelaration,zaccelaration
2021/10/01 20:43:25,1633092205.5147588,,,0.0,-0.0,0.0
2021/10/01 20:43:25,1633092205.6147604,,,0.0,0.01,0.01
2021/10/01 20:43:25,1633092205.7147577,,,0.0,0.11,0.01
2021/10/01 20:43:25,1633092205.8147602,,,-0.0,0.0,0.0
2021/10/01 20:43:25,1633092205.9157777,,,0.0,0.01,0.0
2021/10/01 20:43:26,1633092206.0147939,,,0.0,0.0,0.0
2021/10/01 20:43:26,1633092206.1157608,,,0.04,-0.02,0.0
2021/10/01 20:43:26,1633092206.2157617,,,-0.0,0.03,0.01
2021/10/01 20:43:26,1633092206.3157618,,,0.09,0.01,0.0
2021/10/01 20:43:26,1633092206.4157622,,,-0.0,0.02,0.01
2021/10/01 20:43:26,1633092206.5147738,,,0.0,0.0,0.0
2021/10/01 20:43:26,1633092206.6167617,,,-0.01,0.01,0.0
2021/10/01 20:43:26,1633092206.7147584,,,0.0,0.01,0.0
2021/10/01 20:43:26,1633092206.8147595,,,-0.0,0.0,0.0
2021/10/01 20:43:26,1633092206.914902,,,0.18,-0.01,-0.01
2021/10/01 20:43:27,1633092207.0149043,,,0.01,0.02,0.01
2021/10/01 20:43:27,1633092207.1149015,,,-0.0,0.02,0.08
2021/10/01 20:43:27,1633092207.2149014,,,0.0,0.02,0.01
2021/10/01 20:43:27,1633092207.3155117,,,0.0,0.01,0.01
2021/10/01 20:43:27,1633092207.4145012,,,0.0,0.01,0.0
2021/10/01 20:43:27,1633092207.5145013,,,0.0,-0.01,-0.0
2021/10/01 20:43:27,1633092207.6145012,,,0.01,0.02,-0.0
2021/10/01 20:43:27,1633092207.7145011,,,0.0,0.0,0.0
2021/10/01 20:43:27,1633092207.815513,,,0.0,0.01,0.0
